model,sample_instance_id,anchor_value,condition_class,step_used,layer,mass_anchor,mass_digit,mass_background,digit_over_anchor,run
llava-1.5-7b,400851003_400851_set00,4400,a,1,11,0.08380795270204544,0.03292011946905404,0.0508878332329914,0.39280424360313226,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,12,0.12742109596729279,0.06599636888131499,0.06142472708597779,0.517939108750527,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,13,0.13685473799705505,0.05968096689321101,0.07717377110384405,0.4360898845496695,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,14,0.08607465028762817,0.034267584909684956,0.05180706537794322,0.39811471548447713,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,15,0.10542908310890198,0.05705282441340387,0.04837625869549811,0.5411488246983206,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,16,0.0859963446855545,0.03677743545267731,0.049218909232877195,0.4276627755185868,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,17,0.04789111763238907,0.01538425573380664,0.03250686189858243,0.32123400944400116,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,18,0.05475901812314987,0.018763269006740302,0.03599574911640957,0.3426516699869014,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,19,0.05293223634362221,0.0190916660358198,0.03384057030780241,0.36068126636255654,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,20,0.03722859546542168,0.01040769275277853,0.026820902712643147,0.27956178906736645,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,21,0.022727854549884796,0.007144020913983695,0.015583833635901101,0.31432887333485277,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,22,0.03072894923388958,0.009942902863258496,0.020786046370631084,0.3235679419943496,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,23,0.04978654906153679,0.014128458395134658,0.03565809066640213,0.28378063275025767,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,24,0.019743165001273155,0.005755201593274251,0.013987963407998905,0.2915034946475462,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,25,0.029316630214452744,0.00947877808357589,0.019837852130876854,0.32332427070362835,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,26,0.028190571814775467,0.008866431919159368,0.0193241398956161,0.3145176329666439,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,27,0.024910345673561096,0.007881966652348638,0.01702837902121246,0.31641337922958895,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,28,0.027954883873462677,0.007674175692955032,0.020280708180507645,0.2745200347707421,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,29,0.04452534019947052,0.016328265191987157,0.028197075007483363,0.3667184825278736,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,30,0.033941566944122314,0.00903020694386214,0.024911360000260174,0.2660515632271334,20260428-100833
llava-1.5-7b,400851003_400851_set00,4400,a,1,31,0.053214237093925476,0.01500630157534033,0.038207935518585145,0.28199787114966146,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,0,0.4207015037536621,0.1657685525715351,0.254932951182127,0.39402890432404863,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,1,0.25771406292915344,0.10611707530915737,0.15159698761999607,0.41176284329632934,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,2,0.12425929307937622,0.05948567949235439,0.06477361358702183,0.4787221785847054,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,3,0.05400857329368591,0.027183569545741193,0.02682500374794472,0.5033195266596534,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,4,0.029082324355840683,0.014090325494180433,0.01499199886166025,0.4844979143268043,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,5,0.030747685581445694,0.01420128860627301,0.016546396975172684,0.46186528636947555,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,6,0.03243959695100784,0.017168979087728076,0.015270617863279767,0.5292599385145772,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,7,0.043332040309906006,0.030443373369053006,0.012888666940853,0.7025603491394666,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,8,0.05359722673892975,0.03171658230712637,0.021880644431803375,0.5917578993707409,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,9,0.04789119213819504,0.02734436688479036,0.020546825253404677,0.5709685991086907,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,10,0.08562353998422623,0.04885113378986716,0.036772406194359064,0.5705339185797111,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,11,0.0838707983493805,0.04521546035539359,0.038655337993986905,0.5391085007565994,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,12,0.12251390516757965,0.07730373775120825,0.045210167416371405,0.6309792969660787,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,13,0.11869017034769058,0.07768491189926863,0.041005258448421955,0.6545184969547074,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,14,0.06928516179323196,0.04157584119820967,0.02770932059502229,0.6000684724138287,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,15,0.10024247318506241,0.058335764799267054,0.041906708385795355,0.5819465835761116,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,16,0.08103925734758377,0.046553528925869614,0.03448572842171416,0.5744565097159992,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,17,0.036957331001758575,0.014636621403042227,0.02232070959871635,0.39604108322502396,20260428-100833
llava-1.5-7b,1290001_1290_set00,20,a,4,18,0.050631918013095856,0.02264887560158968,0.027983042411506176,0.4473240692902763,20260428-100833
