experiment,model,timestamp,condition,df_moved_before,df_raw_before,adopt_before,exact_match_before,distance_before,n_before,df_moved_after,df_raw_after,adopt_after,exact_match_after,distance_after,n_after,df_moved_delta,df_raw_delta,adopt_delta,exact_match_delta
experiment_e5e_chartqa_full,llava-next-interleaved-7b,20260427-171240,target_plus_irrelevant_number_masked_S1,0.08561643835616438,0.2688356164383562,0.008710801393728223,0.3212025316455696,84.58561643835617,632.0,0.11472602739726027,0.11472602739726027,0.008710801393728223,0.3212025316455696,84.58561643835617,632.0,0.029109589041095896,-0.1541095890410959,0.0,0.0
experiment_e5e_chartqa_full,qwen2.5-vl-7b-instruct,20260427-235812,target_only,,,0.0,0.7659574468085106,,705.0,,,0.0,0.7659574468085106,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,qwen2.5-vl-7b-instruct,20260427-235812,target_plus_irrelevant_neutral,,,0.0,0.7687943262411348,,705.0,,,0.0,0.7687943262411348,,705.0,,,0.0,0.0
experiment_e5e_chartqa_full,qwen2.5-vl-7b-instruct,20260427-235812,target_plus_irrelevant_number_S1,0.024469820554649267,0.08482871125611746,0.016853932584269662,0.759493670886076,361.76672104404565,632.0,0.05057096247960848,0.05057096247960848,0.016853932584269662,0.759493670886076,361.76672104404565,632.0,0.026101141924959215,-0.03425774877650898,0.0,0.0
experiment_e5e_chartqa_full,qwen2.5-vl-7b-instruct,20260427-235812,target_plus_irrelevant_number_masked_S1,0.0196078431372549,0.08169934640522876,0.013108614232209739,0.7579113924050633,362.3807189542484,632.0,0.0457516339869281,0.0457516339869281,0.013108614232209739,0.7579113924050633,362.3807189542484,632.0,0.0261437908496732,-0.03594771241830066,0.0,0.0
experiment_e5e_mathvista_full,analysis,20260428-090529,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_mathvista_full,analysis,20260428-090622,models,,,,,,0.0,,,,,,0.0,,,,
experiment_e5e_mathvista_full,gemma3-27b-it,20260428-090622,target_only,,,0.0,0.42337662337662335,,385.0,,,0.0,0.42337662337662335,,385.0,,,0.0,0.0
experiment_e5e_mathvista_full,gemma3-27b-it,20260428-090622,target_plus_irrelevant_neutral,,,0.0,0.44935064935064933,,385.0,,,0.0,0.44935064935064933,,385.0,,,0.0,0.0
experiment_e5e_mathvista_full,gemma3-27b-it,20260428-090622,target_plus_irrelevant_number_S1,0.0,0.22465753424657534,0.13424657534246576,0.4849315068493151,12.657534246575343,365.0,0.21643835616438356,0.21643835616438356,0.17562724014336917,0.4849315068493151,12.657534246575343,365.0,0.21643835616438356,-0.008219178082191775,0.04138066480090341,0.0
experiment_e5e_mathvista_full,gemma3-27b-it,20260428-090622,target_plus_irrelevant_number_masked_S1,0.0,0.18356164383561643,0.03561643835616438,0.4465753424657534,13.64931506849315,365.0,0.13424657534246576,0.13424657534246576,0.04659498207885305,0.4465753424657534,13.64931506849315,365.0,0.13424657534246576,-0.04931506849315068,0.010978543722688666,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090529,target_only,,,0.0,0.4,,5.0,,,0.0,0.4,,5.0,,,0.0,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090529,target_plus_irrelevant_neutral,,,0.0,0.4,,5.0,,,0.0,0.4,,5.0,,,0.0,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090529,target_plus_irrelevant_number_S1,0.0,0.4,0.0,0.4,20.4,5.0,0.0,0.0,0.0,0.4,20.4,5.0,0.0,-0.4,0.0,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090529,target_plus_irrelevant_number_masked_S1,0.0,0.4,0.0,0.4,20.4,5.0,0.0,0.0,0.0,0.4,20.4,5.0,0.0,-0.4,0.0,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090622,target_only,,,0.0,0.2571428571428571,,385.0,,,0.0,0.2571428571428571,,385.0,,,0.0,0.0
experiment_e5e_mathvista_full,llava-next-interleaved-7b,20260428-090622,target_plus_irrelevant_neutral,,,0.0,0.23896103896103896,,385.0,,,0.0,0.23896103896103896,,385.0,,,0.0,0.0
