experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,1,2,0.0,0.004,0.004,0.028112449799196786,0.072,0.043887550200803205
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,0,2,0.0,0.0,0.0,0.0,0.04838709677419355,0.04838709677419355
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,0,3,0.0,0.0,0.0,0.0,0.0942622950819672,0.0942622950819672
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.020080321285140562,0.076,0.055919678714859436
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,entropy_top_k,2,3,0.005714285714285714,0.09289617486338798,0.08718188914910227,0.004,0.06854838709677419,0.06454838709677418
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,softmax_top1_prob,3,3,0.0,0.12280701754385964,0.12280701754385964,0.0,0.07377049180327869,0.07377049180327869
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S1,top1_minus_top2_margin,2,2,0.04864864864864865,0.05555555555555555,0.006906906906906901,0.028112449799196786,0.036,0.007887550200803211
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S2,entropy_top_k,2,3,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0967741935483871,0.0967741935483871
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S2,softmax_top1_prob,2,3,0.0,0.01680672268907563,0.01680672268907563,0.0,0.13114754098360656,0.13114754098360656
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S2,top1_minus_top2_margin,1,3,0.008130081300813009,0.008130081300813009,0.0,0.0321285140562249,0.072,0.0398714859437751
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S3,entropy_top_k,0,3,0.0,0.0,0.0,0.004,0.04032258064516129,0.03632258064516129
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S3,softmax_top1_prob,0,2,0.0,0.0,0.0,0.0040650406504065045,0.0778688524590164,0.0738038118086099
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S3,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.01606425702811245,0.064,0.04793574297188755
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S4,entropy_top_k,0,2,0.0,0.0,0.0,0.004,0.036290322580645164,0.03229032258064517
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S4,softmax_top1_prob,0,3,0.0,0.0,0.0,0.0040650406504065045,0.07377049180327869,0.06970545115287219
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S4,top1_minus_top2_margin,0,3,0.0,0.0,0.0,0.008032128514056224,0.068,0.05996787148594378
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,m,S5,entropy_top_k,0,3,0.0,0.0,0.0,0.0,0.05241935483870968,0.05241935483870968
