model,anchor_value,n_pairs,adoption_rate,moved_closer_rate,mean_anchor_pull,median_anchor_pull,mean_signed_shift,median_signed_shift
gemma4-31b-it,8,1957,0.06540623403168115,0.061318344404701075,-0.0025549310168625446,0.0,-0.06489524782830863,0.0
gemma4-e4b,0,1942,0.1446961894953656,0.3403707518022657,5.48249227600412,0.0,-5.48249227600412,0.0
gemma4-e4b,1,1931,0.21336095287415846,0.3262558259968928,11.764888658726049,0.0,-11.803210771620922,0.0
gemma4-e4b,2,2000,0.1495,0.3375,3.529,0.0,-3.743,0.0
gemma4-e4b,3,1999,0.12506253126563283,0.32516258129064535,4.980990495247624,0.0,-5.341170585292646,0.0
gemma4-e4b,4,2045,0.13202933985330073,0.24352078239608801,2.8356968215158926,0.0,-3.282640586797066,0.0
gemma4-e4b,5,1934,0.08790072388831438,0.21509824198552224,7.533092037228542,0.0,-8.167011375387798,0.0
gemma4-e4b,6,1993,0.09382839939789263,0.16156547917711991,7.8866031108881085,0.0,-8.73055694932263,0.0
gemma4-e4b,7,1925,0.10233766233766234,0.16883116883116883,3.5064935064935066,0.0,-4.27012987012987,0.0
gemma4-e4b,8,1961,0.05813360530341662,0.10708822029576746,-0.3916369199388067,0.0,-0.7261601223865375,0.0
llava-next-interleaved-7b,0,1938,0.09907120743034056,0.20175438596491227,0.4215686274509804,0.0,-0.4215686274509804,0.0
llava-next-interleaved-7b,1,1928,0.14159751037344398,0.2012448132780083,1.0653526970954357,0.0,-1.04149377593361,0.0
llava-next-interleaved-7b,2,1994,0.29989969909729186,0.26730190571715146,0.5506519558676028,0.0,-0.4262788365095286,0.0
llava-next-interleaved-7b,3,1995,0.1799498746867168,0.21253132832080202,0.3849624060150376,0.0,-0.36390977443609024,0.0
llava-next-interleaved-7b,4,2040,0.15735294117647058,0.19019607843137254,0.34411764705882353,0.0,-0.44901960784313727,0.0
llava-next-interleaved-7b,5,1927,0.09548521017125065,0.12039439543331604,0.06850025947067981,0.0,-0.2594706798131811,0.0
llava-next-interleaved-7b,6,1987,0.14343231001509812,0.11524911927528939,0.14343231001509812,0.0,-0.1887267237040765,0.0
llava-next-interleaved-7b,7,1918,0.02346193952033368,0.09384775808133472,0.04744525547445255,0.0,-0.23722627737226276,0.0
llava-next-interleaved-7b,8,1956,0.0516359918200409,0.05828220858895705,-0.12678936605316973,0.0,-0.2689161554192229,0.0
qwen2.5-vl-7b-instruct,0,1942,0.10556127703398559,0.11946446961894953,0.13954685890834193,0.0,-0.13954685890834193,0.0
qwen2.5-vl-7b-instruct,1,1931,0.15121698601760747,0.12273433454168825,1.129984464008286,0.0,-1.1330916623511134,0.0
qwen2.5-vl-7b-instruct,2,2000,0.159,0.122,1.083,0.0,-1.109,0.0
qwen2.5-vl-7b-instruct,3,1999,0.12456228114057029,0.12256128064032017,5.084542271135568,0.0,-5.137568784392196,0.0
qwen2.5-vl-7b-instruct,4,2045,0.160880195599022,0.0958435207823961,0.9750611246943766,0.0,-1.0845965770171149,0.0
qwen2.5-vl-7b-instruct,5,1934,0.08841778697001035,0.07859358841778696,0.016028955532574975,0.0,-0.14115822130299896,0.0
qwen2.5-vl-7b-instruct,6,1993,0.08529854490717512,0.05519317611640743,-0.031108881083793276,0.0,-0.025087807325639738,0.0
qwen2.5-vl-7b-instruct,7,1925,0.057662337662337665,0.046753246753246755,-0.056623376623376624,0.0,-0.10441558441558442,0.0
qwen2.5-vl-7b-instruct,8,1961,0.049464558898521166,0.04028556858745538,0.8954614992350841,0.0,-1.0861805201427843,0.0
qwen3-vl-30b-it,0,1942,0.111740473738414,0.22090628218331618,0.6987641606591143,0.0,-0.6987641606591143,0.0
qwen3-vl-30b-it,1,1931,0.14034179181771103,0.21595028482651477,0.6954945624029001,0.0,-0.7006732263076126,0.0
qwen3-vl-30b-it,2,1998,0.17567567567567569,0.22922922922922923,0.23623623623623624,0.0,-0.22822822822822822,0.0
qwen3-vl-30b-it,3,1997,0.12518778167250877,0.22333500250375563,-4.241362043064597,0.0,4.214321482223335,0.0
qwen3-vl-30b-it,4,2045,0.16381418092909536,0.18533007334963325,0.15990220048899756,0.0,-0.24889975550122248,0.0
